,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
55549,E18,,0,2023-07-16 07:45:00+00,2023,7,Sunday   ,7,AMERICAN LEGION HWY,42.2753127225369,-71.11587873780117,"(42.2753127225369, -71.11587873780117)"
55587,D4,,0,2023-07-03 19:30:00+00,2023,7,Monday   ,19,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
55613,C6,186,0,2023-06-27 08:58:00+00,2023,6,Tuesday  ,8,ALLSTATE RD,42.330155992175214,-71.06298655802257,"(42.330155992175214, -71.06298655802257)"
55614,D4,,0,2023-06-27 16:03:00+00,2023,6,Tuesday  ,16,RING RD,42.34813113277459,-71.08027053338732,"(42.34813113277459, -71.08027053338732)"
55640,D4,,0,2023-05-10 15:50:00+00,2023,5,Wednesday,15,HAMMOND ST,42.3370513311773,-71.08376793041957,"(42.3370513311773, -71.08376793041957)"
55676,D4,,0,2023-05-09 18:38:00+00,2023,5,Tuesday  ,18,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
55707,D4,,0,2023-07-02 17:47:00+00,2023,7,Sunday   ,17,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
55717,D4,,0,2023-07-02 15:10:00+00,2023,7,Sunday   ,15,COLUMBUS AVE,42.34657451078757,-71.07438700493236,"(42.34657451078757, -71.07438700493236)"
55744,D4,,0,2023-06-28 17:13:00+00,2023,6,Wednesday,17,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
55817,A1,,0,2023-06-27 22:35:00+00,2023,6,Tuesday  ,22,SCHOOL ST,42.35754572009958,-71.05881998053582,"(42.35754572009958, -71.05881998053582)"
55864,A1,112,0,2023-08-27 18:31:00+00,2023,8,Sunday   ,18,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
55886,E5,691,0,2024-03-25 21:53:00+00,2024,3,Monday   ,21,CENTRE ST,42.28709320338153,-71.14822209118665,"(42.28709320338153, -71.14822209118665)"
55901,A1,,0,2023-07-19 10:45:00+00,2023,7,Wednesday,10,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
55934,C11,,0,2023-07-02 20:44:00+00,2023,7,Sunday   ,20,DORCHESTER AVE,42.27357674474239,-71.0677049586352,"(42.27357674474239, -71.0677049586352)"
55948,D4,,0,2023-07-02 05:38:00+00,2023,7,Sunday   ,5,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
55962,D4,146,0,2023-06-26 18:19:00+00,2023,6,Monday   ,18,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
55967,B2,,0,2023-06-26 09:12:00+00,2023,6,Monday   ,9,SEAVER ST,42.30878811870177,-71.09055681144949,"(42.30878811870177, -71.09055681144949)"
56011,E5,728,0,2023-08-26 17:58:00+00,2023,8,Saturday ,17,VFW PKWY,42.28059473010109,-71.17091611354324,"(42.28059473010109, -71.17091611354324)"
56025,E18,,0,2023-07-20 18:11:00+00,2023,7,Thursday ,18,HYDE PARK AVE,42.26701046863793,-71.12096250389341,"(42.26701046863793, -71.12096250389341)"
56051,C11,355,0,2023-09-12 15:09:00+00,2023,9,Tuesday  ,15,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
56055,E5,,0,2023-09-13 14:28:00+00,2023,9,Wednesday,14,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
56097,C11,376,0,2023-11-15 01:59:00+00,2023,11,Wednesday,1,NEPONSET AVE,42.28524416889488,-71.04079173401239,"(42.28524416889488, -71.04079173401239)"
56134,B3,450,0,2023-09-30 10:45:00+00,2023,9,Saturday ,10,TALBOT AVE,42.29041492653994,-71.07269604547206,"(42.29041492653994, -71.07269604547206)"
56138,D4,134,0,2023-10-01 16:15:00+00,2023,10,Sunday   ,16,BOYLSTON ST,42.35037824401699,-71.07626148756364,"(42.35037824401699, -71.07626148756364)"
56192,D4,167,0,2023-08-28 17:00:00+00,2023,8,Monday   ,17,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
56286,D4,162,0,2024-07-04 10:53:00+00,2024,7,Thursday ,10,HARRISON AVE,42.34493380657585,-71.06366422309003,"(42.34493380657585, -71.06366422309003)"
56302,D4,143,0,2023-09-23 15:01:00+00,2023,9,Saturday ,15,RING ROAD,,,
56433,D4,,0,2023-06-12 11:15:00+00,2023,6,Monday   ,11,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
56434,A1,,0,2023-06-12 13:24:00+00,2023,6,Monday   ,13,FANEUIL HALL MARKETPLACE,42.35997918764957,-71.05474177952242,"(42.359979187649564, -71.05474177952242)"
56435,D4,,0,2023-06-08 12:30:00+00,2023,6,Thursday ,12,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
56468,E5,,0,2023-06-08 10:43:00+00,2023,6,Thursday ,10,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
56474,D4,,0,2023-06-05 16:33:00+00,2023,6,Monday   ,16,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
56506,D4,,0,2023-06-06 16:17:00+00,2023,6,Tuesday  ,16,RING RD,42.34813113277459,-71.08027053338732,"(42.34813113277459, -71.08027053338732)"
56556,B2,593,0,2023-09-13 14:09:00+00,2023,9,Wednesday,14,LONGWOOD AVE,42.33856958607009,-71.1067074086278,"(42.33856958607009, -71.1067074086278)"
56570,A1,104,0,2023-09-19 15:23:00+00,2023,9,Tuesday  ,15,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
56587,E5,550,0,2023-09-19 17:53:00+00,2023,9,Tuesday  ,17,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
56674,D4,146,0,2023-09-15 10:09:00+00,2023,9,Friday   ,10,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
56700,E5,,0,2023-05-09 11:00:00+00,2023,5,Tuesday  ,11,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
56713,C11,452,0,2023-05-08 17:07:00+00,2023,5,Monday   ,17,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
56743,A1,102,0,2023-10-04 19:53:00+00,2023,10,Wednesday,19,WASHINGTON ST,42.35591887106224,-71.0600058446897,"(42.35591887106224, -71.0600058446897)"
56748,D4,141,0,2023-10-04 18:15:00+00,2023,10,Wednesday,18,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
56769,A1,,0,2023-08-05 11:37:00+00,2023,8,Saturday ,11,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
56803,C6,200,0,2023-10-26 12:15:00+00,2023,10,Thursday ,12,W BROADWAY,42.342341446623976,-71.05633323226589,"(42.342341446623976, -71.05633323226589)"
56840,D14,,0,2023-07-14 10:47:00+00,2023,7,Friday   ,10,HARVARD AVE,42.34966712874339,-71.13048740468365,"(42.34966712874339, -71.13048740468365)"
56933,D4,138,0,2023-09-11 12:25:00+00,2023,9,Monday   ,12,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
56947,D4,,0,2023-01-09 14:02:00+00,2023,1,Monday   ,14,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
56959,A1,,0,2023-01-09 10:14:00+00,2023,1,Monday   ,10,WASHINGTON ST,42.352729000406285,-71.062563376214,"(42.352729000406285, -71.062563376214)"
56961,A1,,0,2023-01-09 12:37:00+00,2023,1,Monday   ,12,CHARLES ST,42.35739544023947,-71.07008920114313,"(42.35739544023947, -71.07008920114313)"
57029,B2,318,0,2023-09-19 18:27:00+00,2023,9,Tuesday  ,18,SEAVER ST,42.30878811870177,-71.09055681144949,"(42.30878811870177, -71.09055681144949)"
57081,C11,,0,2023-01-09 19:06:00+00,2023,1,Monday   ,19,GENEVA AVE,42.29848819292919,-71.06313353185703,"(42.29848819292919, -71.06313353185703)"
57103,D4,138,0,2023-09-15 14:15:00+00,2023,9,Friday   ,14,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
57157,C11,,0,2023-07-17 22:10:00+00,2023,7,Monday   ,22,GALLIVAN BLVD,42.28273497240463,-71.0549657982702,"(42.28273497240463, -71.0549657982702)"
57190,C11,,0,2023-06-27 14:11:00+00,2023,6,Tuesday  ,14,GENEVA AVE,42.29848819292919,-71.06313353185703,"(42.29848819292919, -71.06313353185703)"
57198,A7,,0,2023-06-27 18:55:00+00,2023,6,Tuesday  ,18,MAVERICK SQ,42.36943094657907,-71.03917216293458,"(42.36943094657907, -71.03917216293458)"
57313,E5,,0,2023-08-03 20:32:00+00,2023,8,Thursday ,20,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
57317,D4,,0,2023-08-03 17:16:00+00,2023,8,Thursday ,17,NEWBURY ST,42.351761332162205,-71.07452217168813,"(42.351761332162205, -71.07452217168813)"
57353,E5,,0,2023-07-15 15:15:00+00,2023,7,Saturday ,15,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
57368,E5,,0,2023-06-25 15:29:00+00,2023,6,Sunday   ,15,VFW PKWY,42.28059473010109,-71.17091611354324,"(42.28059473010109, -71.17091611354324)"
57384,D4,,0,2023-06-10 15:45:00+00,2023,6,Saturday ,15,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
57394,D4,,0,2023-06-12 17:37:00+00,2023,6,Monday   ,17,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
57450,D4,,0,2023-08-01 15:02:00+00,2023,8,Tuesday  ,15,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
57455,D14,807,0,2023-06-07 21:48:00+00,2023,6,Wednesday,21,WESTERN AVE,42.36284134765465,-71.13792294977702,"(42.36284134765465, -71.13792294977702)"
57463,D4,,0,2023-06-08 18:10:00+00,2023,6,Thursday ,18,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
57610,D4,,0,2023-07-16 13:55:00+00,2023,7,Sunday   ,13,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
57619,D4,,0,2023-07-16 17:06:00+00,2023,7,Sunday   ,17,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
57642,D4,,0,2023-07-20 12:01:00+00,2023,7,Thursday ,12,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
57704,D4,,0,2023-06-26 18:13:00+00,2023,6,Monday   ,18,RING RD,42.34813113277459,-71.08027053338732,"(42.34813113277459, -71.08027053338732)"
57718,D4,,0,2023-07-14 16:43:00+00,2023,7,Friday   ,16,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
57732,D4,141,0,2023-06-26 14:39:00+00,2023,6,Monday   ,14,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
57743,E13,574,0,2023-06-29 22:52:00+00,2023,6,Thursday ,22,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
57764,D4,,0,2023-06-29 17:18:00+00,2023,6,Thursday ,17,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
57804,D4,146,0,2023-06-25 17:24:00+00,2023,6,Sunday   ,17,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
57811,D14,,0,2023-06-27 21:56:00+00,2023,6,Tuesday  ,21,CAMBRIDGE ST,42.35766789781185,-71.12729735863282,"(42.35766789781185, -71.12729735863282)"
57815,B3,,0,2023-06-27 15:46:00+00,2023,6,Tuesday  ,15,BLUE HILL AVE,42.2699468933332,-71.0938037982284,"(42.2699468933332, -71.0938037982284)"
57821,C11,,0,2023-06-27 14:17:00+00,2023,6,Tuesday  ,14,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
57835,C11,,0,2023-06-27 10:07:00+00,2023,6,Tuesday  ,10,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
57850,D4,,0,2023-07-03 18:42:00+00,2023,7,Monday   ,18,NEWBURY ST,42.35059671738375,-71.0788108158712,"(42.350596717383745, -71.0788108158712)"
57872,E18,,0,2023-07-03 21:06:00+00,2023,7,Monday   ,21,RIVER ST,42.2619480823838,-71.10971690223373,"(42.2619480823838, -71.10971690223373)"
57873,E5,,0,2023-07-02 20:06:00+00,2023,7,Sunday   ,20,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
57947,C6,201,0,2023-09-14 13:57:00+00,2023,9,Thursday ,13,W BROADWAY,42.33930366987105,-71.0516047031393,"(42.33930366987105, -71.0516047031393)"
58033,A1,112,0,2023-09-13 18:54:00+00,2023,9,Wednesday,18,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
58043,A1,104,0,2023-09-13 19:02:00+00,2023,9,Wednesday,19,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
58109,A1,,0,2023-08-01 16:33:00+00,2023,8,Tuesday  ,16,HANOVER ST,42.36275191309582,-71.05556503599365,"(42.36275191309582, -71.05556503599365)"
58113,B2,,0,2023-07-17 09:19:00+00,2023,7,Monday   ,9,LONGWOOD AVE,42.33856958607009,-71.1067074086278,"(42.33856958607009, -71.1067074086278)"
58129,B2,,0,2023-07-17 13:37:00+00,2023,7,Monday   ,13,DUDLEY ST,42.31813475956561,-71.06763444019123,"(42.31813475956561, -71.06763444019123)"
58134,D4,,0,2023-07-17 12:36:00+00,2023,7,Monday   ,12,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
58148,A1,,0,2023-07-14 14:12:00+00,2023,7,Friday   ,14,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
58164,D4,,0,2023-05-10 19:08:00+00,2023,5,Wednesday,19,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
58189,A7,23,0,2023-05-18 03:45:00+00,2023,5,Thursday ,3,BENNINGTON ST,42.3754693221924,-71.03730257165637,"(42.375469322192394, -71.03730257165637)"
58208,E13,,0,2023-07-01 14:01:00+00,2023,7,Saturday ,14,CENTRE ST,42.31193362800709,-71.1142915774298,"(42.31193362800709, -71.1142915774298)"
58228,C11,,0,2023-07-16 16:56:00+00,2023,7,Sunday   ,16,DORCHESTER AVE,42.27357674474239,-71.0677049586352,"(42.27357674474239, -71.0677049586352)"
58294,A1,61,0,2023-10-28 20:45:00+00,2023,10,Saturday ,20,CAUSEWAY ST,42.365374320180834,-71.06154205203151,"(42.365374320180834, -71.06154205203151)"
58324,D4,143,0,2023-01-09 13:50:00+00,2023,1,Monday   ,13,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
58361,D4,143,0,2023-10-02 14:55:00+00,2023,10,Monday   ,14,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
58364,D4,141,0,2023-10-02 17:52:00+00,2023,10,Monday   ,17,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
58365,B3,428,0,2023-10-02 15:50:00+00,2023,10,Monday   ,15,MORTON ST,42.28187017401512,-71.08751220128951,"(42.28187017401512, -71.08751220128951)"
58387,D4,167,0,2023-10-07 13:00:00+00,2023,10,Saturday ,13,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
58414,D4,,0,2023-05-07 07:45:00+00,2023,5,Sunday   ,7,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
58429,D4,141,0,2023-10-03 14:42:00+00,2023,10,Tuesday  ,14,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
58445,D4,167,0,2023-09-11 10:40:00+00,2023,9,Monday   ,10,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
58483,D4,167,0,2023-09-26 18:07:00+00,2023,9,Tuesday  ,18,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
58505,A7,28,0,2023-10-05 02:57:00+00,2023,10,Thursday ,2,CENTRAL SQ,42.37421052890368,-71.03918521307645,"(42.37421052890368, -71.03918521307645)"
58506,A1,112,0,2023-10-04 19:41:00+00,2023,10,Wednesday,19,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
58512,D4,146,0,2023-10-03 18:30:00+00,2023,10,Tuesday  ,18,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
58537,D4,627,0,2023-10-02 19:10:00+00,2023,10,Monday   ,19,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
58557,D4,167,0,2023-09-12 15:02:00+00,2023,9,Tuesday  ,15,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
58578,D4,273,0,2023-10-06 15:15:00+00,2023,10,Friday   ,15,WASHINGTON ST,42.33621895343226,-71.07733814570015,"(42.33621895343226, -71.07733814570015)"
58613,A1,72,0,2023-09-30 12:00:00+00,2023,9,Saturday ,12,CAMBRIDGE ST,42.361096942433406,-71.0620612580421,"(42.361096942433406, -71.0620612580421)"
58622,D4,167,0,2023-09-25 18:15:00+00,2023,9,Monday   ,18,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
58637,E5,728,0,2023-09-12 07:08:00+00,2023,9,Tuesday  ,7,VFW PKWY,42.27720157264164,-71.17222345228086,"(42.27720157264164, -71.17222345228086)"
58656,B2,279,0,2023-06-29 13:53:00+00,2023,6,Thursday ,13,DUDLEY ST,42.32853484068592,-71.0821393030554,"(42.32853484068592, -71.0821393030554)"
58677,E18,,0,2023-05-08 18:50:00+00,2023,5,Monday   ,18,AMERICAN LEGION HWY,42.27412982229016,-71.11674693475842,"(42.274129822290156, -71.11674693475842)"
58712,C11,452,0,2023-03-22 19:24:00+00,2023,3,Wednesday,19,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
58727,A1,,0,2023-06-12 18:05:00+00,2023,6,Monday   ,18,WASHINGTON ST,42.35591887106224,-71.0600058446897,"(42.35591887106224, -71.0600058446897)"
58775,E13,574,0,2023-06-29 21:01:00+00,2023,6,Thursday ,21,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
58838,A7,26,0,2023-06-29 18:13:00+00,2023,6,Thursday ,18,BORDER ST,42.37620216335869,-71.03979962591616,"(42.376202163358684, -71.03979962591616)"
58863,D4,,0,2023-06-24 07:43:00+00,2023,6,Saturday ,7,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
58867,D4,627,0,2023-07-03 09:20:00+00,2023,7,Monday   ,9,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
58881,D4,,0,2023-07-03 17:24:00+00,2023,7,Monday   ,17,"HUNTINGTON AVE & MASSACHUSETTS AVE
BOSTON, MA 0211",42.342709598021415,-71.08484054757506,"(42.342709598021415, -71.08484054757506)"
58914,A1,,0,2023-06-12 18:44:00+00,2023,6,Monday   ,18,N MARKET ST,,,
58934,D4,134,0,2023-09-13 11:56:00+00,2023,9,Wednesday,11,NEWBURY ST,42.35117959608332,-71.07666656997849,"(42.35117959608332, -71.07666656997849)"
58967,C6,186,0,2023-09-19 21:11:00+00,2023,9,Tuesday  ,21,ALLSTATE RD,42.330155992175214,-71.06298655802257,"(42.330155992175214, -71.06298655802257)"
58978,D4,146,0,2023-09-01 15:34:00+00,2023,9,Friday   ,15,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
59001,D4,626,0,2023-10-12 17:45:00+00,2023,10,Thursday ,17,JERSEY ST,42.34241856624551,-71.09678363069114,"(42.342418566245506, -71.09678363069114)"
59006,C11,,0,2023-06-07 10:24:00+00,2023,6,Wednesday,10,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
59021,D14,771,0,2023-06-07 15:20:00+00,2023,6,Wednesday,15,WASHINGTON ST,42.34913218440575,-71.15423111432068,"(42.34913218440575, -71.15423111432068)"
59057,D14,,0,2023-06-14 17:05:00+00,2023,6,Wednesday,17,HARVARD AVE,42.34966712874339,-71.13048740468365,"(42.34966712874339, -71.13048740468365)"
59079,C6,186,0,2023-06-07 22:31:00+00,2023,6,Wednesday,22,ALLSTATE RD,42.330155992175214,-71.06298655802257,"(42.330155992175214, -71.06298655802257)"
59087,D4,143,0,2023-09-19 11:40:00+00,2023,9,Tuesday  ,11,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
59123,E13,,0,2023-01-09 15:50:00+00,2023,1,Monday   ,15,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
59143,D4,,0,2023-07-17 17:08:00+00,2023,7,Monday   ,17,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
59159,D4,,0,2023-07-15 14:08:00+00,2023,7,Saturday ,14,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
59188,D4,134,0,2023-09-11 15:10:00+00,2023,9,Monday   ,15,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
59200,A7,22,0,2023-09-11 16:15:00+00,2023,9,Monday   ,16,LONDON ST,42.3756834795145,-71.03624922946622,"(42.3756834795145, -71.03624922946622)"
59201,D4,138,0,2023-09-11 12:19:00+00,2023,9,Monday   ,12,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
59202,B3,444,0,2023-09-10 18:40:00+00,2023,9,Sunday   ,18,BLUE HILL AVE,42.295763369154415,-71.08756067038517,"(42.295763369154415, -71.08756067038517)"
59227,E13,304,0,2023-09-30 08:42:00+00,2023,9,Saturday ,8,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
59228,D4,134,0,2023-09-30 14:36:00+00,2023,9,Saturday ,14,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
59289,D14,768,0,2023-09-12 18:32:00+00,2023,9,Tuesday  ,18,MARKET ST,42.35524865013419,-71.14966880287777,"(42.35524865013419, -71.14966880287777)"
59304,D4,134,0,2023-09-12 18:30:00+00,2023,9,Tuesday  ,18,BOYLSTON ST,42.35037824401699,-71.07626148756364,"(42.35037824401699, -71.07626148756364)"
59317,D4,,0,2023-06-09 05:45:00+00,2023,6,Friday   ,5,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
59324,D4,146,0,2023-06-11 16:29:00+00,2023,6,Sunday   ,16,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
59335,D4,146,0,2023-06-13 17:52:00+00,2023,6,Tuesday  ,17,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
59338,A1,112,0,2023-06-14 00:00:00+00,2023,6,Wednesday,0,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
59372,A1,,0,2023-07-16 16:30:00+00,2023,7,Sunday   ,16,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
59395,B3,476,0,2023-07-16 16:56:00+00,2023,7,Sunday   ,16,BLUE HILL AVE,42.2699468933332,-71.0938037982284,"(42.2699468933332, -71.0938037982284)"
59398,B3,,0,2023-07-14 10:14:00+00,2023,7,Friday   ,10,TALBOT AVE,42.29453910732405,-71.08669955198306,"(42.29453910732405, -71.08669955198306)"
59424,D4,,0,2023-05-19 16:46:00+00,2023,5,Friday   ,16,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
59431,C11,356,0,2024-01-17 14:40:00+00,2024,1,Wednesday,14,GENEVA AVE,42.29848819292919,-71.06313353185703,"(42.29848819292919, -71.06313353185703)"
59461,A1,104,0,2024-04-17 12:43:00+00,2024,4,Wednesday,12,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
59505,E18,525,0,2023-10-01 19:18:00+00,2023,10,Sunday   ,19,TRUMAN PKWY,42.24124892522304,-71.12629992589298,"(42.24124892522304, -71.12629992589298)"
59523,E18,525,0,2023-10-03 16:16:00+00,2023,10,Tuesday  ,16,TRUMAN PKWY,42.24124892522304,-71.12629992589298,"(42.24124892522304, -71.12629992589298)"
59633,C11,370,0,2023-07-14 17:58:00+00,2023,7,Friday   ,17,WILLIAM T MORRISSEY BLVD,42.29623636030116,-71.04853701077667,"(42.29623636030116, -71.04853701077667)"
59642,D4,,0,2023-07-14 08:32:00+00,2023,7,Friday   ,8,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
59654,A1,98,0,2023-07-17 09:34:00+00,2023,7,Monday   ,9,WASHINGTON ST,42.35724276231505,-71.05849716505996,"(42.35724276231505, -71.05849716505996)"
59708,D4,,0,2023-03-22 14:50:00+00,2023,3,Wednesday,14,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
59740,D4,,0,2023-03-22 12:54:00+00,2023,3,Wednesday,12,BOYLSTON ST,42.34862336851335,-71.08277689315231,"(42.34862336851335, -71.08277689315231)"
59745,D4,,0,2023-03-22 19:04:00+00,2023,3,Wednesday,19,MASSACHUSETTS AVE,42.34621415123045,-71.08721249407748,"(42.34621415123045, -71.08721249407748)"
59747,E18,,0,2023-01-09 14:03:00+00,2023,1,Monday   ,14,HYDE PARK AVE,42.27930608805183,-71.11909886343791,"(42.27930608805183, -71.11909886343791)"
59748,A1,,0,2023-01-09 14:03:00+00,2023,1,Monday   ,14,CAMBRIDGE ST,42.361096942433406,-71.0620612580421,"(42.361096942433406, -71.0620612580421)"
59778,A1,112,0,2023-10-01 19:20:00+00,2023,10,Sunday   ,19,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
59795,D4,141,0,2023-10-02 15:58:00+00,2023,10,Monday   ,15,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
