,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
42651,A1,111,0,2023-12-10 16:43:00+00,2023,12,Sunday   ,16,WASHINGTON ST,42.352729000406285,-71.062563376214,"(42.352729000406285, -71.062563376214)"
42701,C11,450,0,2023-10-06 09:18:00+00,2023,10,Friday   ,9,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
42768,C11,450,0,2024-01-10 08:26:00+00,2024,1,Wednesday,8,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
42817,D4,627,0,2023-11-18 14:18:00+00,2023,11,Saturday ,14,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
42860,A1,111,0,2024-07-06 17:36:00+00,2024,7,Saturday ,17,WASHINGTON ST,42.352729000406285,-71.062563376214,"(42.352729000406285, -71.062563376214)"
42910,A7,26,0,2024-01-14 11:13:00+00,2024,1,Sunday   ,11,BORDER ST,42.37382704784248,-71.04052495666849,"(42.373827047842475, -71.04052495666849)"
42964,E13,304,0,2024-05-09 09:24:00+00,2024,5,Thursday ,9,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
42975,A1,103,0,2024-05-09 11:30:00+00,2024,5,Thursday ,11,WASHINGTON ST,42.35680027278679,-71.05893069821927,"(42.356800272786785, -71.05893069821927)"
42993,C6,200,0,2023-10-03 10:10:00+00,2023,10,Tuesday  ,10,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
42996,A1,94,0,2024-01-16 12:20:00+00,2024,1,Tuesday  ,12,FANEUIL HALL MARKETPLACE,42.35997918764957,-71.05474177952242,"(42.359979187649564, -71.05474177952242)"
43005,C6,214,0,2024-02-22 14:20:00+00,2024,2,Thursday ,14,W BROADWAY,42.33611150189893,-71.04665481129499,"(42.336111501898934, -71.04665481129499)"
43018,A1,104,0,2024-02-21 19:06:00+00,2024,2,Wednesday,19,WASHINGTON ST,42.35648582614597,-71.05928190137298,"(42.35648582614597, -71.05928190137298)"
43035,B2,329,0,2024-05-04 09:24:00+00,2024,5,Saturday ,9,BLUE HILL AVE,42.30989409285917,-71.08231914796782,"(42.309894092859174, -71.08231914796782)"
43052,A1,61,0,2024-06-30 12:26:00+00,2024,6,Sunday   ,12,CAUSEWAY ST,42.365374320180834,-71.06154205203151,"(42.365374320180834, -71.06154205203151)"
43138,C11,248,0,2024-07-29 19:50:00+00,2024,7,Monday   ,19,DORCHESTER AVE,42.31322365348008,-71.0571533161321,"(42.31322365348008, -71.0571533161321)"
43139,B2,608,0,2024-07-29 01:15:00+00,2024,7,Monday   ,1,HUNTINGTON AVE,42.33186250665562,-71.11239482336516,"(42.33186250665562, -71.11239482336516)"
43141,D4,143,0,2024-07-29 13:26:00+00,2024,7,Monday   ,13,BOYLSTON ST,42.34932426228881,-71.08014852728094,"(42.34932426228881, -71.08014852728094)"
43160,D4,149,0,2024-07-01 15:42:00+00,2024,7,Monday   ,15,COLUMBUS AVE,42.34657451078757,-71.07438700493236,"(42.34657451078757, -71.07438700493236)"
43208,A1,112,0,2024-01-12 18:49:00+00,2024,1,Friday   ,18,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
43293,D4,137,0,2024-06-11 16:42:00+00,2024,6,Tuesday  ,16,NEWBURY ST,42.35059671738375,-71.0788108158712,"(42.350596717383745, -71.0788108158712)"
43333,A1,94,0,2024-06-11 17:49:00+00,2024,6,Tuesday  ,17,FANEUIL HALL MARKETPLACE,42.35997918764957,-71.05474177952242,"(42.359979187649564, -71.05474177952242)"
43368,D4,138,0,2024-06-09 15:24:00+00,2024,6,Sunday   ,15,NEWBURY ST,42.34999687778176,-71.08103491858215,"(42.34999687778176, -71.08103491858215)"
43564,A7,3,0,2024-07-09 11:30:00+00,2024,7,Tuesday  ,11,SARATOGA ST,42.38423923708616,-71.00003946711071,"(42.384239237086156, -71.00003946711071)"
43586,C11,823,0,2024-02-25 19:43:00+00,2024,2,Sunday   ,19,STOUGHTON ST,42.31489573177658,-71.0604308272463,"(42.31489573177658, -71.0604308272463)"
43606,C11,352,0,2024-02-26 20:53:00+00,2024,2,Monday   ,20,ADAMS ST,42.302038542068864,-71.06009129138428,"(42.302038542068864, -71.06009129138428)"
43653,A1,72,0,2024-04-17 16:23:00+00,2024,4,Wednesday,16,CAMBRIDGE ST,42.361096942433406,-71.0620612580421,"(42.361096942433406, -71.0620612580421)"
